condition,model,e,e_mse,e_in,b,g,d,r_A,div,g_lin,sure,dis,g2,g3,q,frac_improved
pixel_mask(drop=0.25),dae_lam1w5_inner_seed2,0.095062,0.0270794,0.0837831,0.215032,0.0115734,0.127082,0.0760999,,,,0.0161682,0.00709586,0.00599853,0.6079,0.3173
pixel_mask(drop=0.25),dae_lam1w5_seed0,0.0947327,0.0257526,0.0837831,0.215032,0.00664056,0.125481,0.0751839,,,,0.0103226,0.00381446,0.0031504,0.578959,0.2292
pixel_mask(drop=0.25),dae_lam1w5_seed1,0.0983494,0.0275045,0.0837831,0.215032,0.00659729,0.127985,0.0780146,,,,0.0103226,0.0038917,0.00321144,0.594293,0.1133
pixel_mask(drop=0.25),dae_lam1w5_seed2,0.0972095,0.027047,0.0837831,0.215032,0.00604228,0.128175,0.0773465,,,,0.0103226,0.00344567,0.00284909,0.57586,0.1809
pixel_mask(drop=0.5),radial,0.155271,0.0927105,0.151322,0.143511,2.45488e-17,0.0266232,0.0126919,,,,,5.6852e-18,3.13046e-18,,0.3288
pixel_mask(drop=0.5),pca64,0.168528,0.0645168,0.151322,0.143511,4.95083e-16,0.150456,0.078602,,,,,4.0039e-16,3.99915e-16,,0.0068
pixel_mask(drop=0.5),dae_lam0.1w5_seed0,0.162242,0.0691543,0.151322,0.143511,0.0116711,0.142125,0.0810794,,,,0.0109445,0.00718324,0.00568289,0.629637,0.0494
pixel_mask(drop=0.5),dae_lam0.1w5_seed1,0.162965,0.0695025,0.151322,0.143511,0.0112264,0.14326,0.0819002,,,,0.0109445,0.00752571,0.00623175,0.682944,0.0527
pixel_mask(drop=0.5),dae_lam0_seed0,0.163526,0.0701595,0.151322,0.143511,0.0129087,0.142074,0.0817334,,,,0.0116293,0.00862152,0.00703299,0.68322,0.032
pixel_mask(drop=0.5),dae_lam0_seed1,0.162647,0.0693125,0.151322,0.143511,0.013554,0.142694,0.0816095,,,,0.0116293,0.00930754,0.0078437,0.70102,0.0444
pixel_mask(drop=0.5),dae_lam0_seed2,0.159518,0.0667905,0.151322,0.143511,0.0144257,0.143568,0.0802405,,,,0.0116293,0.0111024,0.00994885,0.774579,0.1605
pixel_mask(drop=0.5),dae_lam1_seed0,0.209544,0.103143,0.151322,0.143511,1.50359e-06,0.223341,0.107973,,,,,6.14718e-09,5.84848e-09,0.00441532,0.1328
pixel_mask(drop=0.5),dae_lam1w5_inner_seed0,0.167217,0.0725803,0.151322,0.143511,0.01205,0.14661,0.0854891,,,,0.0151251,0.00710592,0.00573885,0.595582,0.0529
pixel_mask(drop=0.5),dae_lam1w5_inner_seed1,0.165236,0.0710702,0.151322,0.143511,0.0128961,0.147123,0.0845232,,,,0.0151251,0.00755461,0.00605802,0.588044,0.0926
pixel_mask(drop=0.5),dae_lam1w5_inner_seed2,0.165369,0.0715,0.151322,0.143511,0.0134802,0.147094,0.0845705,,,,0.0151251,0.00848348,0.00705157,0.627269,0.0621
pixel_mask(drop=0.5),dae_lam1w5_seed0,0.163209,0.069285,0.151322,0.143511,0.00710966,0.145645,0.0827483,,,,0.0102595,0.00399227,0.00327426,0.570246,0.0411
pixel_mask(drop=0.5),dae_lam1w5_seed1,0.165935,0.071246,0.151322,0.143511,0.00682896,0.146982,0.0844158,,,,0.0102595,0.0040338,0.00333934,0.59881,0.0166
pixel_mask(drop=0.5),dae_lam1w5_seed2,0.163954,0.0693605,0.151322,0.143511,0.00665944,0.148304,0.0836356,,,,0.0102595,0.00385615,0.0031581,0.588898,0.0325
