condition,model_group,signal,spearman,spearman_min,spearman_max,partial,partial_min,partial_max,auroc
noise(sigma=0.3),dae_lam1w5,q,-0.0585,-0.1346,0.0215,-0.0712,-0.1434,0.0093,0.4733
noise(sigma=0.5),dae_lam0,dis,0.6274,0.5966,0.6572,0.6534,0.6183,0.6856,0.8332
noise(sigma=0.5),dae_lam0,g2,0.6776,0.6280,0.7417,0.6909,0.6621,0.7413,0.8368
noise(sigma=0.5),dae_lam0,g3,0.6206,0.5828,0.6722,0.6448,0.6257,0.6801,0.8102
noise(sigma=0.5),dae_lam0,q,0.2549,0.2246,0.2777,0.2933,0.2562,0.3329,0.6273
noise(sigma=0.5),dae_lam1,g2,-0.0103,-0.0103,-0.0103,-0.0014,-0.0014,-0.0014,0.4934
noise(sigma=0.5),dae_lam1,g3,0.0084,0.0084,0.0084,0.0093,0.0093,0.0093,0.4971
noise(sigma=0.5),dae_lam1,q,-0.1046,-0.1046,-0.1046,-0.0900,-0.0900,-0.0900,0.4499
noise(sigma=0.5),dae_lam1w5,dis,0.2182,-0.0070,0.6515,0.2595,0.0615,0.6354,0.6537
noise(sigma=0.5),dae_lam1w5,g2,0.4960,0.3950,0.5860,0.4867,0.3945,0.5677,0.7726
noise(sigma=0.5),dae_lam1w5,g3,0.4913,0.4015,0.5687,0.4818,0.3983,0.5522,0.7651
noise(sigma=0.5),dae_lam1w5,q,0.0125,-0.0325,0.0725,0.0261,-0.0347,0.0621,0.5031
blur(std=0.5),dae_lam0,dis,0.7847,0.7729,0.8010,0.7848,0.7728,0.8016,0.8794
blur(std=0.5),dae_lam0,g2,0.6345,0.6180,0.6440,0.6397,0.6175,0.6572,0.8114
blur(std=0.5),dae_lam0,g3,0.5810,0.5531,0.6043,0.5887,0.5534,0.6252,0.7866
blur(std=0.5),dae_lam0,q,-0.0559,-0.1203,0.0511,-0.0488,-0.1151,0.0617,0.4606
blur(std=0.5),dae_lam1,g2,0.0246,0.0246,0.0246,0.0425,0.0425,0.0425,0.5092
blur(std=0.5),dae_lam1,g3,0.0044,0.0044,0.0044,-0.0043,-0.0043,-0.0043,0.5001
blur(std=0.5),dae_lam1,q,-0.7211,-0.7211,-0.7211,-0.6684,-0.6684,-0.6684,0.1487
blur(std=0.5),dae_lam1w5,dis,0.7740,0.7476,0.7960,0.7811,0.7533,0.8051,0.8701
blur(std=0.5),dae_lam1w5,g2,0.5161,0.4745,0.5749,0.5197,0.4755,0.5815,0.7834
blur(std=0.5),dae_lam1w5,g3,0.4861,0.4425,0.5432,0.4893,0.4440,0.5482,0.7658
blur(std=0.5),dae_lam1w5,q,-0.3294,-0.3424,-0.3054,-0.3342,-0.3474,-0.3090,0.3393
blur(std=1),dae_lam0,dis,0.6457,0.6401,0.6555,0.6185,0.6131,0.6285,0.8295
blur(std=1),dae_lam0,g2,0.4715,0.4296,0.4939,0.4692,0.4616,0.4830,0.7576
blur(std=1),dae_lam0,g3,0.4087,0.3864,0.4207,0.4314,0.4069,0.4732,0.7281
blur(std=1),dae_lam0,q,0.1248,0.1015,0.1645,0.2678,0.2336,0.3264,0.5509
blur(std=1),dae_lam1,g2,0.0004,0.0004,0.0004,0.0234,0.0234,0.0234,0.4960
blur(std=1),dae_lam1,g3,0.0015,0.0015,0.0015,0.0039,0.0039,0.0039,0.5006
