condition,model_group,signal,spearman,spearman_min,spearman_max,partial,partial_min,partial_max,auroc
pixel_mask(drop=0.5),unet_lam1,r_A,0.9923,0.9923,0.9923,-0.0887,-0.0887,-0.0887,0.9951
pixel_mask(drop=0.5),unet_lam1w5,b,0.9674,0.9673,0.9677,,,,0.9805
pixel_mask(drop=0.5),unet_lam1w5,g,0.6872,0.6524,0.7101,0.0507,0.0402,0.0590,0.8854
pixel_mask(drop=0.5),unet_lam1w5,d,0.9649,0.9617,0.9677,0.4585,0.4445,0.4750,0.9766
pixel_mask(drop=0.5),unet_lam1w5,r_A,0.9721,0.9702,0.9746,0.5751,0.5608,0.5976,0.9805
pixel_mask(drop=0.75),unet_lam0,b,0.9614,0.9612,0.9618,,,,0.9772
pixel_mask(drop=0.75),unet_lam0,g,0.9543,0.9513,0.9570,0.2910,0.2769,0.3147,0.9774
pixel_mask(drop=0.75),unet_lam0,d,0.9165,0.9023,0.9260,0.1852,0.1816,0.1889,0.9439
pixel_mask(drop=0.75),unet_lam0,r_A,0.9232,0.9046,0.9332,0.2660,0.2429,0.2781,0.9536
pixel_mask(drop=0.75),unet_lam1,b,0.9787,0.9787,0.9787,,,,0.9875
pixel_mask(drop=0.75),unet_lam1,g,,,,,,,0.5000
pixel_mask(drop=0.75),unet_lam1,d,0.9781,0.9781,0.9781,-0.1425,-0.1425,-0.1425,0.9872
pixel_mask(drop=0.75),unet_lam1,r_A,0.9781,0.9781,0.9781,-0.1425,-0.1425,-0.1425,0.9872
pixel_mask(drop=0.75),unet_lam1w5,b,0.9617,0.9615,0.9620,,,,0.9770
pixel_mask(drop=0.75),unet_lam1w5,g,0.7005,0.6792,0.7197,0.1369,0.1157,0.1591,0.8802
pixel_mask(drop=0.75),unet_lam1w5,d,0.9551,0.9533,0.9584,0.1981,0.1703,0.2427,0.9699
pixel_mask(drop=0.75),unet_lam1w5,r_A,0.9715,0.9708,0.9722,0.5071,0.4904,0.5225,0.9820
box_mask(size=8),unet_lam0,b,0.5784,0.5768,0.5800,,,,0.8224
box_mask(size=8),unet_lam0,g,0.2869,0.2819,0.2896,0.2914,0.2867,0.2945,0.5987
box_mask(size=8),unet_lam0,d,0.3694,0.3675,0.3726,0.3070,0.3029,0.3126,0.6584
box_mask(size=8),unet_lam0,r_A,0.3637,0.3615,0.3675,0.2953,0.2921,0.3007,0.6573
box_mask(size=8),unet_lam1,b,0.9893,0.9893,0.9893,,,,0.9949
box_mask(size=8),unet_lam1,g,,,,,,,0.5000
box_mask(size=8),unet_lam1,d,0.9894,0.9894,0.9894,0.1357,0.1357,0.1357,0.9950
box_mask(size=8),unet_lam1,r_A,0.9894,0.9894,0.9894,0.1357,0.1357,0.1357,0.9950
box_mask(size=8),unet_lam1w5,b,0.5624,0.5594,0.5650,,,,0.8148
box_mask(size=8),unet_lam1w5,g,0.4243,0.4215,0.4275,0.2726,0.2627,0.2786,0.7183
box_mask(size=8),unet_lam1w5,d,0.3084,0.2945,0.3295,0.2985,0.2820,0.3131,0.6801
box_mask(size=8),unet_lam1w5,r_A,0.2911,0.2776,0.3126,0.2788,0.2637,0.2934,0.6733
box_mask(size=14),unet_lam0,b,0.6482,0.6478,0.6484,,,,0.8316
box_mask(size=14),unet_lam0,g,0.1215,0.1092,0.1300,-0.0854,-0.0922,-0.0798,0.5698
box_mask(size=14),unet_lam0,d,0.2002,0.1892,0.2090,-0.0440,-0.0506,-0.0334,0.6050
box_mask(size=14),unet_lam0,r_A,0.1949,0.1839,0.2029,-0.0519,-0.0568,-0.0432,0.6011
box_mask(size=14),unet_lam1,b,0.9473,0.9473,0.9473,,,,0.9739
box_mask(size=14),unet_lam1,g,,,,,,,0.5000
box_mask(size=14),unet_lam1,d,0.9488,0.9488,0.9488,0.3206,0.3206,0.3206,0.9744
box_mask(size=14),unet_lam1,r_A,0.9488,0.9488,0.9488,0.3206,0.3206,0.3206,0.9744
box_mask(size=14),unet_lam1w5,b,0.6398,0.6395,0.6404,,,,0.8286
box_mask(size=14),unet_lam1w5,g,0.3385,0.3224,0.3565,0.0013,-0.0114,0.0139,0.7088
box_mask(size=14),unet_lam1w5,d,0.2490,0.2373,0.2618,0.1110,0.1044,0.1215,0.6622
box_mask(size=14),unet_lam1w5,r_A,0.2319,0.2163,0.2484,0.0946,0.0843,0.1064,0.6533
noise(sigma=0.1),unet_lam0,dis,0.8358,0.8341,0.8377,0.8471,0.8458,0.8485,0.9053
