condition,model_group,signal,spearman,spearman_min,spearman_max,partial,partial_min,partial_max,auroc
blur(std=2),dae_lam0.1w5,r_A,0.7661,0.7592,0.7791,0.4819,0.4760,0.4922,0.8352
blur(std=2),dae_lam1w5_inner,b,0.6751,0.6147,0.7258,,,,0.7769
blur(std=2),dae_lam1w5_inner,g,0.4653,0.3584,0.5326,0.2316,0.1431,0.3550,0.7249
blur(std=2),dae_lam1w5_inner,d,0.7281,0.6733,0.7797,0.3884,0.3527,0.4407,0.8100
blur(std=2),dae_lam1w5_inner,r_A,0.8203,0.8057,0.8474,0.6280,0.5828,0.6642,0.8746
blur(std=2),dae_lam1w5,b,0.5971,0.5559,0.6368,,,,0.7364
blur(std=2),dae_lam1w5,g,0.6137,0.6038,0.6214,0.3347,0.2567,0.3808,0.7770
blur(std=2),dae_lam1w5,d,0.6678,0.6424,0.7034,0.3860,0.3582,0.4027,0.7720
blur(std=2),dae_lam1w5,r_A,0.7089,0.6689,0.7349,0.4776,0.4488,0.5325,0.7988
pixel_mask(drop=0.25),dae_lam0.1w5,b,0.8761,0.8700,0.8792,,,,0.9359
pixel_mask(drop=0.25),dae_lam0.1w5,g,0.6987,0.6478,0.7556,0.5646,0.5579,0.5737,0.8574
pixel_mask(drop=0.25),dae_lam0.1w5,d,0.9707,0.9689,0.9719,0.9522,0.9511,0.9534,0.9858
pixel_mask(drop=0.25),dae_lam0.1w5,r_A,0.9938,0.9935,0.9941,0.9733,0.9730,0.9739,0.9968
pixel_mask(drop=0.25),dae_lam1w5_inner,b,0.8161,0.8040,0.8242,,,,0.8988
pixel_mask(drop=0.25),dae_lam1w5_inner,g,0.4696,0.4267,0.5294,0.6154,0.5935,0.6264,0.7462
pixel_mask(drop=0.25),dae_lam1w5_inner,d,0.9456,0.9403,0.9487,0.9431,0.9406,0.9448,0.9696
pixel_mask(drop=0.25),dae_lam1w5_inner,r_A,0.9935,0.9928,0.9938,0.9804,0.9795,0.9810,0.9964
pixel_mask(drop=0.25),dae_lam1w5,b,0.8659,0.8526,0.8735,,,,0.9297
pixel_mask(drop=0.25),dae_lam1w5,g,0.6105,0.5589,0.6606,0.5191,0.5078,0.5343,0.7913
pixel_mask(drop=0.25),dae_lam1w5,d,0.9695,0.9661,0.9723,0.9589,0.9561,0.9603,0.9845
pixel_mask(drop=0.25),dae_lam1w5,r_A,0.9939,0.9936,0.9941,0.9754,0.9749,0.9764,0.9968
pixel_mask(drop=0.5),dae_lam0.1w5,b,0.9624,0.9610,0.9631,,,,0.9790
pixel_mask(drop=0.5),dae_lam0.1w5,g,0.7047,0.6601,0.7935,0.3540,0.3343,0.3717,0.8780
pixel_mask(drop=0.5),dae_lam0.1w5,d,0.9846,0.9841,0.9850,0.8774,0.8746,0.8823,0.9919
pixel_mask(drop=0.5),dae_lam0.1w5,r_A,0.9899,0.9895,0.9902,0.8809,0.8777,0.8830,0.9942
pixel_mask(drop=0.5),dae_lam1w5_inner,b,0.9541,0.9523,0.9552,,,,0.9740
pixel_mask(drop=0.5),dae_lam1w5_inner,g,0.5050,0.4425,0.5473,0.3893,0.3689,0.4031,0.7720
pixel_mask(drop=0.5),dae_lam1w5_inner,d,0.9773,0.9756,0.9782,0.8231,0.8078,0.8418,0.9881
pixel_mask(drop=0.5),dae_lam1w5_inner,r_A,0.9894,0.9889,0.9898,0.8949,0.8863,0.8994,0.9939
pixel_mask(drop=0.5),dae_lam1w5,b,0.9627,0.9616,0.9639,,,,0.9791
pixel_mask(drop=0.5),dae_lam1w5,g,0.6207,0.5822,0.6522,0.3237,0.3098,0.3343,0.8088
pixel_mask(drop=0.5),dae_lam1w5,d,0.9857,0.9851,0.9863,0.9012,0.8976,0.9067,0.9921
pixel_mask(drop=0.5),dae_lam1w5,r_A,0.9900,0.9898,0.9902,0.8795,0.8772,0.8838,0.9942
pixel_mask(drop=0.75),dae_lam0.1w5,b,0.9619,0.9613,0.9625,,,,0.9781
pixel_mask(drop=0.75),dae_lam0.1w5,g,0.6353,0.5721,0.7241,0.2089,0.1763,0.2463,0.8326
pixel_mask(drop=0.75),dae_lam0.1w5,d,0.9677,0.9672,0.9682,0.3939,0.3653,0.4313,0.9822
pixel_mask(drop=0.75),dae_lam0.1w5,r_A,0.9759,0.9751,0.9765,0.7189,0.7052,0.7328,0.9860
pixel_mask(drop=0.75),dae_lam1w5_inner,b,0.9582,0.9543,0.9627,,,,0.9782
pixel_mask(drop=0.75),dae_lam1w5_inner,g,0.5374,0.5062,0.5873,0.1230,0.0979,0.1546,0.7180
pixel_mask(drop=0.75),dae_lam1w5_inner,d,0.9566,0.9496,0.9638,0.1441,0.0771,0.2153,0.9800
pixel_mask(drop=0.75),dae_lam1w5_inner,r_A,0.9735,0.9711,0.9759,0.6830,0.6522,0.7068,0.9858
pixel_mask(drop=0.75),dae_lam1w5,b,0.9631,0.9624,0.9636,,,,0.9782
pixel_mask(drop=0.75),dae_lam1w5,g,0.5402,0.4700,0.6749,0.1898,0.1675,0.2247,0.7857
pixel_mask(drop=0.75),dae_lam1w5,d,0.9705,0.9690,0.9713,0.4837,0.4211,0.5276,0.9829
pixel_mask(drop=0.75),dae_lam1w5,r_A,0.9765,0.9757,0.9771,0.7248,0.7065,0.7490,0.9861
box_mask(size=8),dae_lam0.1w5,b,0.5122,0.5040,0.5163,,,,0.7874
box_mask(size=8),dae_lam0.1w5,g,0.8360,0.8249,0.8447,0.7708,0.7570,0.7818,0.8983
box_mask(size=8),dae_lam0.1w5,d,0.8579,0.8417,0.8665,0.8254,0.8085,0.8344,0.9060
box_mask(size=8),dae_lam0.1w5,r_A,0.8014,0.7851,0.8172,0.7835,0.7672,0.7966,0.8847
box_mask(size=8),dae_lam1w5_inner,b,0.4316,0.3893,0.4593,,,,0.7241
box_mask(size=8),dae_lam1w5_inner,g,0.7451,0.7295,0.7589,0.6772,0.6709,0.6875,0.8324
box_mask(size=8),dae_lam1w5_inner,d,0.8217,0.8128,0.8314,0.7805,0.7747,0.7878,0.8785
box_mask(size=8),dae_lam1w5_inner,r_A,0.8253,0.8034,0.8403,0.8173,0.7981,0.8321,0.9020
box_mask(size=8),dae_lam1w5,b,0.4998,0.4866,0.5141,,,,0.7741
box_mask(size=8),dae_lam1w5,g,0.8219,0.8164,0.8324,0.7543,0.7461,0.7651,0.8915
box_mask(size=8),dae_lam1w5,d,0.9043,0.8919,0.9135,0.8762,0.8590,0.8880,0.9331
box_mask(size=8),dae_lam1w5,r_A,0.8646,0.8507,0.8773,0.8473,0.8281,0.8614,0.9215
box_mask(size=14),dae_lam0.1w5,b,0.6827,0.6766,0.6943,,,,0.8522
box_mask(size=14),dae_lam0.1w5,g,0.7335,0.7215,0.7504,0.4692,0.4532,0.4881,0.8577
box_mask(size=14),dae_lam0.1w5,d,0.6949,0.6680,0.7384,0.4402,0.4066,0.5038,0.8393
box_mask(size=14),dae_lam0.1w5,r_A,0.6429,0.6036,0.6978,0.3751,0.3380,0.4332,0.8168
box_mask(size=14),dae_lam1w5_inner,b,0.6717,0.6538,0.6929,,,,0.8458
box_mask(size=14),dae_lam1w5_inner,g,0.7051,0.6484,0.7506,0.4457,0.3726,0.4959,0.8345
box_mask(size=14),dae_lam1w5_inner,d,0.6770,0.6517,0.7252,0.4143,0.3816,0.4733,0.8317
box_mask(size=14),dae_lam1w5_inner,r_A,0.7109,0.6832,0.7458,0.4840,0.4578,0.5077,0.8538
box_mask(size=14),dae_lam1w5,b,0.6860,0.6759,0.6996,,,,0.8548
box_mask(size=14),dae_lam1w5,g,0.7597,0.7462,0.7745,0.5250,0.5178,0.5377,0.8734
box_mask(size=14),dae_lam1w5,d,0.7524,0.7300,0.7784,0.5251,0.4860,0.5725,0.8760
box_mask(size=14),dae_lam1w5,r_A,0.7034,0.6769,0.7439,0.4567,0.4221,0.5061,0.8534
noise(sigma=0.1),dae_lam0.1w5,dis,0.7963,0.7818,0.8076,0.7972,0.7821,0.8092,0.8858
noise(sigma=0.1),dae_lam0.1w5,g2,0.6600,0.6533,0.6671,0.6608,0.6542,0.6683,0.8231
noise(sigma=0.1),dae_lam0.1w5,g3,0.6114,0.5967,0.6211,0.6118,0.5965,0.6211,0.7990
noise(sigma=0.1),dae_lam0.1w5,q,-0.0829,-0.1179,-0.0434,-0.0815,-0.1166,-0.0424,0.4455
noise(sigma=0.1),dae_lam1w5_inner,dis,0.7235,0.7115,0.7304,0.7244,0.7128,0.7311,0.8296
noise(sigma=0.1),dae_lam1w5_inner,g2,0.4690,0.4473,0.5030,0.4744,0.4479,0.5200,0.7354
noise(sigma=0.1),dae_lam1w5_inner,g3,0.4282,0.3929,0.4712,0.4321,0.3892,0.4880,0.7114
noise(sigma=0.1),dae_lam1w5_inner,q,-0.3197,-0.3738,-0.2749,-0.3269,-0.3858,-0.2717,0.3412
noise(sigma=0.1),dae_lam1w5,dis,0.7731,0.7444,0.7954,0.7768,0.7472,0.8012,0.8710
noise(sigma=0.1),dae_lam1w5,g2,0.5112,0.4785,0.5582,0.5148,0.4800,0.5647,0.7799
noise(sigma=0.1),dae_lam1w5,g3,0.4811,0.4407,0.5319,0.4842,0.4427,0.5367,0.7626
noise(sigma=0.1),dae_lam1w5,q,-0.3187,-0.3455,-0.2762,-0.3275,-0.3524,-0.2852,0.3520
noise(sigma=0.2),dae_lam0.1w5,dis,0.7883,0.7755,0.7977,0.7880,0.7750,0.7978,0.8838
noise(sigma=0.2),dae_lam0.1w5,g2,0.6640,0.6574,0.6696,0.6644,0.6580,0.6701,0.8262
noise(sigma=0.2),dae_lam0.1w5,g3,0.6165,0.6099,0.6258,0.6168,0.6090,0.6252,0.8040
noise(sigma=0.2),dae_lam0.1w5,q,0.0873,0.0627,0.1145,0.0930,0.0658,0.1223,0.5354
noise(sigma=0.2),dae_lam1w5_inner,dis,0.7248,0.7127,0.7324,0.7247,0.7128,0.7308,0.8330
noise(sigma=0.2),dae_lam1w5_inner,g2,0.4684,0.4501,0.4987,0.4748,0.4512,0.5173,0.7369
noise(sigma=0.2),dae_lam1w5_inner,g3,0.4278,0.3941,0.4675,0.4324,0.3908,0.4863,0.7121
noise(sigma=0.2),dae_lam1w5_inner,q,-0.2658,-0.3157,-0.2132,-0.2721,-0.3264,-0.2086,0.3647
noise(sigma=0.2),dae_lam1w5,dis,0.7540,0.7274,0.7732,0.7562,0.7288,0.7777,0.8622
noise(sigma=0.2),dae_lam1w5,g2,0.4938,0.4616,0.5393,0.4936,0.4602,0.5412,0.7714
noise(sigma=0.2),dae_lam1w5,g3,0.4716,0.4311,0.5226,0.4706,0.4297,0.5224,0.7578
noise(sigma=0.2),dae_lam1w5,q,-0.1797,-0.2329,-0.1254,-0.1906,-0.2408,-0.1357,0.4123
noise(sigma=0.3),dae_lam0.1w5,dis,0.7617,0.7496,0.7704,0.7618,0.7497,0.7705,0.8800
noise(sigma=0.3),dae_lam0.1w5,g2,0.6636,0.6499,0.6796,0.6633,0.6518,0.6782,0.8255
noise(sigma=0.3),dae_lam0.1w5,g3,0.6153,0.6039,0.6217,0.6163,0.6096,0.6202,0.8031
noise(sigma=0.3),dae_lam0.1w5,q,0.1728,0.1538,0.1884,0.1842,0.1593,0.2058,0.5792
noise(sigma=0.3),dae_lam1w5_inner,dis,0.7228,0.7121,0.7285,0.7206,0.7099,0.7278,0.8376
noise(sigma=0.3),dae_lam1w5_inner,g2,0.4610,0.4502,0.4809,0.4689,0.4513,0.5004,0.7362
noise(sigma=0.3),dae_lam1w5_inner,g3,0.4243,0.3913,0.4572,0.4296,0.3884,0.4767,0.7126
noise(sigma=0.3),dae_lam1w5_inner,q,-0.1954,-0.2517,-0.1341,-0.2003,-0.2618,-0.1282,0.3999
noise(sigma=0.3),dae_lam1w5,dis,0.6922,0.6699,0.7036,0.6895,0.6672,0.7018,0.8450
noise(sigma=0.3),dae_lam1w5,g2,0.4773,0.4380,0.5171,0.4719,0.4338,0.5110,0.7584
noise(sigma=0.3),dae_lam1w5,g3,0.4610,0.4156,0.5080,0.4544,0.4103,0.5002,0.7471
noise(sigma=0.3),dae_lam1w5,q,-0.0585,-0.1346,0.0215,-0.0712,-0.1434,0.0093,0.4733
noise(sigma=0.5),dae_lam0.1w5,dis,0.4929,0.3972,0.6209,0.5384,0.4416,0.6578,0.7756
noise(sigma=0.5),dae_lam0.1w5,g2,0.6642,0.6223,0.7364,0.6678,0.6256,0.7338,0.8283
noise(sigma=0.5),dae_lam0.1w5,g3,0.6180,0.5864,0.6792,0.6289,0.5957,0.6812,0.8068
noise(sigma=0.5),dae_lam0.1w5,q,0.2348,0.2158,0.2462,0.2574,0.2535,0.2619,0.6167
noise(sigma=0.5),dae_lam1w5_inner,dis,0.6325,0.6249,0.6403,0.6380,0.6296,0.6471,0.8213
noise(sigma=0.5),dae_lam1w5_inner,g2,0.4408,0.4281,0.4622,0.4651,0.4513,0.4823,0.7287
noise(sigma=0.5),dae_lam1w5_inner,g3,0.4134,0.4125,0.4151,0.4302,0.4216,0.4454,0.7113
noise(sigma=0.5),dae_lam1w5_inner,q,-0.0680,-0.1303,-0.0114,-0.0665,-0.1354,0.0044,0.4646
noise(sigma=0.5),dae_lam1w5,dis,0.2182,-0.0070,0.6515,0.2595,0.0615,0.6354,0.6537
noise(sigma=0.5),dae_lam1w5,g2,0.4960,0.3950,0.5860,0.4867,0.3945,0.5677,0.7726
noise(sigma=0.5),dae_lam1w5,g3,0.4913,0.4015,0.5687,0.4818,0.3983,0.5522,0.7651
noise(sigma=0.5),dae_lam1w5,q,0.0125,-0.0325,0.0725,0.0261,-0.0347,0.0621,0.5031
